,Jan.,Feb.,3/14/2025,3/21/2025,3/28/2025,4/4/2025,4/11/2025,4/18/2025,4/25/2025,5/2/2025,5/9/2025,5/16/2025,5/23/2025,5/30/2025,6/6/2025,6/13/2025,6/20/2025,6/27/2025,7/4/2025,7/11/2025,7/18/2025,7/25/2025,8/1/2025,8/8/2025,8/15/2025,8/22/2025,8/29/2025,9/5/2025,9/12/2025,9/19/2025,9/26/2025,10/3/2025,10/10/2025,10/17/2025,10/24/2025,10/31/2025,11/7/2025,11/14/2025,11/21/2025,11/28/2025,12/5/2025,12/12/2025,12/19/2025,12/26/2025,
Total Calls,,,34,24,15,27,24,28,27,25,17,25,43,24,41,25,21,25,15,29,24,15,19,22,24,16,17,5,,,,,,,,,,,,,,,,,
Total Chats ,53,36,26,10,16,22,12,13,41,31,23,21,25,32,21,32,29,,17,34,25,25,38,31,29,16,29,28,,,,,,,,,,,,,,,,,
Total Emails ,,,138,124,115*,138,136,145,121,88,86,127,121,119,87,84,106,114,81,91,103,89,92,111,87,81,83,86,,,,,,,,,,,,,,,,,
Total orders for the week,,,,,,,,,,,,286,324,327,296,461,311,341,233,306,349,282,361,392,281,283,264,250,,,,,,,,,,,,,,,,,
Replacement Orders ,62,39,4,6,6,5,2,8,8,5,7,4,1,3,3,3,1,4,4(1.71%),4(1.3%),3(0.85%),4(1.4%),6(1.6%),6(1.5%),1,6,4,3,,,,,,,,,,,,,,,,,
Replacement total amount ,,,$2162.73,$2201.25,$3275.50,$1322.00,$371.70,$4518.45,$10124.90,$1786.50,$6065.90,$1874.70,$456.10,$312.00,$0.00,$3571.70,$525.00,$6584.10,$2722.90,$1804.20,$999.00,$1741.95,$4884.70,$566.95,$425.00,$7107.50,$504.90,$1416.00,,,,,,,,,,,,,,,,,
Missing From Order,8,1,24,11,6,11,11,10,9,5,10,8,9 (2.7%),7(2.1%),5,11(2.3%),4,17,5(2.1%),10(3.2%),23(6.59%),8(2.8%),9(2.4%),11(2.8%),6,12,9,9,,,,,,,,,,,,,,,,,
Broken ,,,,27,24,20,28,26,19,23,27,16,14(4.3%),13(3.9%),22,27(5.8%),27,28,14(6%),15(4.9%),27(7.7%),25(8.8%),19(5.2%),24(6.1%),16,23,25,22,,,,,,,,,,,,,,,,,
Overshipments ,$36 , $-   ,2,0,0,1,0,3,0,0,0,0,1(0.3%),0,0,0,1,1,4(1.71%),0,0,0,1(0.2%),0,0,1= 173831 ,1,0,,,,,,,,,,,,,,,,,
Pending RMA's,,,9,8,5,3,1,2,1,1,2,2,1,2,4,6,7,5,4,3,2,3,0,3,2,2,4,8,,,,,,,,,,,,,,,,,
Completed RMA's,25,16,8,0,5,5,6,0,16,1,4,1,1,4,4,13,6,14,6,3,0,2,5,2,4,4,5,3,,,,,,,,,,,,,,,,,
Returned to Sender,19,2,3,0,1,0,1,3,1,0,4,1,0,1,0,1,0,0,2(0.85%),1,1,1,1,0,0,1,2,0,,,,,,,,,,,,,,,,,
Total credits given ,,,$4215.30,$1587.94,$1701.30,$1521.85,$1780.15,$2398.67,$1805.30,$1020.69,$1388.95,$2028.26,$904.35,$3954.55,$1932.33,$2656.64,$1423.04,$1923.34,$997.41,$3097.97,$3513.63,$1197.58,$4085.40,$2363.68,$1954.13,$2118.63,$2133.79,$1854.43,,,,,,,,,,,,,,,,,
LL orders ,,,,,33,51,38,23,23,20,23,29,32,33,26,25,21,21,17,17,18,20,19,25,8,14,24,26,,,,,,,,,,,,,,,,,
Total Leaf Trade,,,,1,3,3,2,1,1,2,0,1,1,2,0,0,0,3,1,1,3,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,
Main Stem ,,,,,TBD,,9,2,1,1,2,0,7,3,2,4,0,3,3,3,4,3,3,3,1,6,1,2,,,,,,,,,,,,,,,,,
APEX orders,,,,,,,,,,,,,,,,,,4,3,1,0,0,0,0,0,0,2,1,,,,,,,,,,,,,,,,,
Top Broken SKU of the Week,,,,WP-SGSKULL7 - x16,SE-WP-DECODIAMOND x10,HP-2.5P40G x5 (one order),SE-WP-DECODIAMOND - 8,HP-4P85G- 10,HP-2.5P40G-SOLID x4,PCLDISPFULL- Pipes x16,"6x HP-4P85G-166615
 8x SE-HP-WIGWONDER- 167729= ccantrell","168211- WP-CRV10 x41- $738
Trulieve order 
","HP-OGCHILL- 168412
$8.45","HP-2.5P40G-SOLID-16
167843- x6
168772- x10","HP-2.5P40G-x27- $81.53
169535- x14 ","SE-HP-FLOWERSHERLOCK x9
5x-169513
",14- HP-4P85G- x8- 168662,"SE-HP-4P85G-BX- 7 Orders ($107.50 credit total)
SE-HP-2.5P40G-BX- 2 orders ($29.12 total credit)
SE-HP-3P55G-BX- 2 orders ($35.16 total credit)","PS-GLSPRM200- Glass Screens x15
SE-HP-3P55G-BX- 14 units broken in 1 box (171032) $25.2 credit ","SE-HP-SEASHELL- x8
HP-2.5P40G- x8","HP-RSTASTRIPE35
171383- 150 out of 150
SE-WP-2HONEYCOMBETCH9 
x7 out of 30- $119 total ","SE-HP-4P85G-BX- x18
171971- x3
171304- x1
170515- x14 - Akonx","HP-3XFRIT35- x24 out of 100- 172285(aromero)
SE-HP-2.5P40G-BX- x9 - 171164
","SE-WP-BEAKUV x6
172603- csimpkins
172830- jgregory
172396- thodge","CH-DUOKNK- x12
SE-HP-PUMPKINPIPE- x50",7x- HP45G on three orders,HP-2.5P30G- x49- 174006- Looked like carrier issue from pallet ,SE-HP-4P85G-BX= x13,,,,,,,,,,,,,,,,,
Picker ,,,,ccantrell - x4 ,"ccantrell -x3 (164983), (164804), (165203)","caustin- x1 order #165662 (200x missing batteries)x5 (BT-V985D)
x2 (BT-V842D)
x4 (BT-V936D)
x2 (LOOK-SH-PRO-PLUS-PU)
x5 (LOOK-SH-PRO-PLUS-OR)
x5 ( LOOK-SH-PRO-PLUS-BL)
x5 (LOOK-SH-PRO-PLUS-BK) ","dnunez - x3 
166540- $50 (x20 HP-SWIRL)
165903- $127
165937- $8",,"ccantrell x3
167306-Mx5 Glow Pen
Ex5 Wandj
165780- $9
166667- $8.5","caustin- x2 - 
167182- 5x Bangers 
165744- 
Missing 1x 82505 $10
Missing 3x DUG-KNUCK $3.50
Missing 3x SE-HP-BKRSPOON $5","ccantrell x 5
167718- $40
167729- $642.50
167655- $192
167642- $11
166655- $62.40","ccantrell x2
163821- $12.5 - x1 penjamin
168355- $18- x1 - GND-ACR-40MM-24PK
thodge x1- 
168211- $79.2- x80 HP-2.5P40G",elanis- x3 ," x3- ealins
167577-$236.59 
163943
168249","x2- ealanis
168844- $260 (x20 SE-HP-STEAMROLLER)
169535- $62.50 (x5 BT-PENJAMIN-PK)","x4 ccantrell 
169244- x3 HP- LGELE- $15 (5x)
169476- x1- ZNCWOOD $10
169390- x2 King Palms- $48
169186- x2 $12.50
$85.50","169784	Curaleaf - FL	rgrine	LOOK-SNAIL2.0	6
				
169056	Breck Organics Therapy 	jgregory 	MDBR-L	10
				
169835	The Prime Leaf on Park	thodge	RAW-CONEBLK6PK	5
				
169362	Southern Sky Wellness	aromero	REV-LTSBK	2",,"csimpkins- x2 
170799- 100 HP-4P85G
170956- 2- Lookah Guitar Gray ","ccantrell - x3
170155
170586
171087","Aromero- x4 
171240- x1 WP-CRV10- $20
170449- x1- WP-MSHP10- $15
","ccantrell- x3
171690- RAW-CONEBLK6PK x1
171644- HP-35TWST x2
171696-ONEHIT-3DISP-CIG- x1
","9 Missing orders- 6 different pickers
Thodge- 3 orders- No pick slip to be found
","thodge- x3 missing orders
172658- x1 BT-V850D
172770- x10 GND-ZNC60RNBWDMD
171855- x2- ZZUT
x2-LOOK-SH-PRO-PLUS-NG
x9-HP-BPROTO",No in particular cultrpit this week ,"csimpkins- x5- 
171946
172514
173091
173781
173767",No in particular cultrpit this week  ,"kharris- x3
174521
174319
174527",,,,,,,,,,,,,,,,,
Packer,,,,jarriaga -x5,TBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,166326- $170 missing- caustin,,166322- $5105- Replace,,167720- $2084.2- RTS,168211- $738- x41  broken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supporting Doc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit Explanation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://luvbuds-team.monday.com/boards/2788178033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://luvbuds-team.monday.com/boards/2787812860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reoccuring Broken SKUs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
https://luvbuds-my.sharepoint.com/:x:/g/personal/jmartin_luvbuds_onmicrosoft_com/EeYi6DHZ6AhLjSebAP_u2JEB5MCoBJVlJuV9RSZTdHPqPg?e=CybcEt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Missing Orders sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://docs.google.com/spreadsheets/d/1pCmVfEh53Ux0R2AOvM7SzMTe7VMD-IP6SGSLRbI00Ac/edit?usp=sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly KPI sheet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
